"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name","refseq","ensembl"
"Gm53491",24.3582939668159,1.06929669916569,0.381274757193774,2.80453053602563,0.00503899142701874,0.0475177696090182,"Gm53491","118567655","predicted gene, 53491","XR_004935517",NA
"Mybl1",60.8458802534672,0.835982866902236,0.33530356366148,2.4932119950453,0.0126593237813139,0.0879304422113294,"Mybl1","17864","myeloblastosis oncogene-like 1","NM_001290397","ENSMUSG00000025912"
"Slco5a1",230.032817844665,0.348677141026409,0.142440008582154,2.44788767213044,0.0143696446321597,0.0954050207752705,"Slco5a1","240726","solute carrier organic anion transporter family, member 5A1","NM_172841","ENSMUSG00000025938"
"Trpa1",23.1187235078231,-1.00919089825755,0.340750731215883,-2.96166906130035,0.00305976462454031,0.0336327353487778,"Trpa1","277328","transient receptor potential cation channel, subfamily A, member 1","NM_001348288","ENSMUSG00000032769"
"Terf1",173.838832522688,0.524654616977815,0.202149843011511,2.59537484255152,0.0094487808522419,0.0724313089465658,"Terf1","21749","telomeric repeat binding factor 1","NM_001286628","ENSMUSG00000025925"
"Rdh10",243.345573560465,-0.396177685070253,0.0832121366304315,-4.76105651306358,1.92582106334617e-06,0.000107986150067819,"Rdh10","98711","retinol dehydrogenase 10 (all-trans)","NM_133832","ENSMUSG00000025921"
"Pi15",67.1681854751829,1.23332123580633,0.400503651456829,3.07942569642033,0.00207400098041514,0.0256379053972762,"Pi15","94227","peptidase inhibitor 15","NM_053191","ENSMUSG00000067780"
"Paqr8",6535.31070974518,-0.202984236707427,0.0430085879136346,-4.71962104673233,2.36284408721609e-06,0.000129219859201796,"Paqr8","74229","progestin and adipoQ receptor family member VIII","NM_001355122","ENSMUSG00000025931"
"Tmem14a",301.600797480106,-0.347047217219844,0.133650340537446,-2.59668038124159,0.00941294673633242,0.0722338688701057,"Tmem14a","75712","transmembrane protein 14A","NM_001290679","ENSMUSG00000025933"
"Gm53539",44.5321037865497,1.1098554744626,0.39241181285058,2.82829272238348,0.00467969947902702,0.0452749794924049,"Gm53539","118567719","predicted gene, 53539","XR_004935832",NA
"Smap1",4771.52229957939,0.174212196066923,0.0502881369347657,3.46428017989438,0.000531652456452086,0.00914047290204632,"Smap1","98366","small ArfGAP 1","NM_001290683","ENSMUSG00000026155"
"Col9a1",162.606448020032,0.707508219527584,0.150649151228009,4.69639698438634,2.64790681863366e-06,0.000141838415452486,"Col9a1","12839","collagen, type IX, alpha 1","NM_001290691","ENSMUSG00000026147"
"Khdrbs2",168.26060818118,0.446447890395929,0.132557174845479,3.36796473609482,0.000757252811937883,0.0119694581398103,"Khdrbs2","170771","KH domain containing, RNA binding, signal transduction associated 2","NM_133235","ENSMUSG00000026058"
"Gm37233",222.03286498659,0.479969808342417,0.129915050200724,3.69448964997393,0.000220328867473395,0.00470362313585672,"Gm37233","118567733","predicted gene, 37233","XR_004935993",NA
"Imp4",752.300319902751,-0.238563165957876,0.0931508308297711,-2.56104174093562,0.010435881696235,0.0771115044935732,"Imp4","27993","IMP4, U3 small nucleolar ribonucleoprotein","NM_178601","ENSMUSG00000026127"
"Lman2l",1192.25966376848,-0.22283165086766,0.0661844826851846,-3.3668262080039,0.000760385917271274,0.0119975761960193,"Lman2l","214895","lectin, mannose-binding 2-like","NM_001013374","ENSMUSG00000001143"
"Cnnm4",798.92018307813,-0.249073566818916,0.0960050446404765,-2.59437999067296,0.00947616894479228,0.0724853018217377,"Cnnm4","94220","cyclin M4","NM_033570","ENSMUSG00000037408"
"Sema4c",584.374962354153,0.324669694449148,0.0937219227429815,3.46418089756338,0.000531848725210777,0.00914047290204632,"Sema4c","20353","sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C","NM_001126047","ENSMUSG00000026121"
"Gm33533",35.2384524748402,0.882266619899665,0.26114913787867,3.37840142635112,0.000729085659686046,0.0115884035010826,"Gm33533","102636476","predicted gene, 33533","XR_003948647",NA
"Mgat4a",1212.2950092055,0.371270458531944,0.153203634788324,2.42337891685739,0.0153768783970406,0.0999497095807639,"Mgat4a","269181","mannoside acetylglucosaminyltransferase 4, isoenzyme A","NM_001290801","ENSMUSG00000026110"
"Gm39628",8.65370164681319,1.17440561548407,0.415132823656354,2.82898761206183,0.00466955064030633,0.0452535851361749,"Gm39628","105243908","predicted gene, 39628","XR_003947780",NA
"Aff3",6712.07141526163,-0.217837891860161,0.0617278276959123,-3.5290062843826,0.000417123224924403,0.0075883022817613,"Aff3","16764","AF4/FMR2 family, member 3","NM_001290814","ENSMUSG00000037138"
"Pdcl3",583.602377826304,0.261473227745767,0.104373354131736,2.50517222447165,0.0122391780948018,0.0860579351832514,"Pdcl3","68833","phosducin-like 3","NM_026850","ENSMUSG00000026078"
"Npas2",2406.95979249889,0.189331349412126,0.0660581284881118,2.8661325070116,0.00415520282027374,0.0416908486820104,"Npas2","18143","neuronal PAS domain protein 2","NM_008719","ENSMUSG00000026077"
"Tbc1d8",728.800391147318,0.198458020859357,0.0630521421306654,3.14752225940372,0.00164660568398292,0.0214530927312451,"Tbc1d8","54610","TBC1 domain family, member 8","NM_001357521","ENSMUSG00000003134"
"Map4k4",14092.4601104927,0.158990704951892,0.0494966745677203,3.2121492270024,0.00131745923104058,0.018206386909365,"Map4k4","26921","mitogen-activated protein kinase kinase kinase kinase 4","NM_001252200","ENSMUSG00000026074"
