"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0071345","BP","GO:0071345","cellular response to cytokine stimulus",8,-0.771476095661292,-2.09881849905417,0.000740147220590294,0.000740147220590294,0.854051855684472,66,"tags=75%, list=2%, signal=73%","ENSMUSG00000021457/ENSMUSG00000026193/ENSMUSG00000032089/ENSMUSG00000022146/ENSMUSG00000092021/ENSMUSG00000000628"
"GO:0004896","MF","GO:0004896","cytokine receptor activity",3,-0.889255592225889,-1.71511662315577,0.00502797805106179,0.00502797805106179,0.854051855684472,306,"tags=100%, list=11%, signal=89%","ENSMUSG00000032089/ENSMUSG00000022146"
"GO:0140375","MF","GO:0140375","immune receptor activity",3,-0.889255592225889,-1.71511662315577,0.00502797805106179,0.00502797805106179,0.854051855684472,306,"tags=100%, list=11%, signal=89%","ENSMUSG00000032089/ENSMUSG00000022146"
"GO:0072594","BP","GO:0072594","establishment of protein localization to organelle",4,-0.815059989977882,-1.73599060861513,0.00853785374602088,0.00853785374602088,0.854051855684472,227,"tags=100%, list=8%, signal=92%","ENSMUSG00000037161/ENSMUSG00000032089/ENSMUSG00000000628"
"GO:0042802","MF","GO:0042802","identical protein binding",21,0.516889298186715,1.74018162421747,0.00874684188225185,0.00874684188225185,0.854051855684472,701,"tags=57%, list=26%, signal=43%","ENSMUSG00000027919/ENSMUSG00000026896/ENSMUSG00000028464/ENSMUSG00000036251/ENSMUSG00000110206/ENSMUSG00000032769/ENSMUSG00000070306/ENSMUSG00000023951/ENSMUSG00000048582/ENSMUSG00000000263/ENSMUSG00000000732/ENSMUSG00000038508"
"GO:0019637","BP","GO:0019637","organophosphate metabolic process",5,-0.788249034127401,-1.83115000705507,0.00938765461313808,0.00938765461313808,0.854051855684472,171,"tags=60%, list=6%, signal=56%","ENSMUSG00000057457/ENSMUSG00000021228/ENSMUSG00000000628"
"GO:0034097","BP","GO:0034097","response to cytokine",9,-0.649169342554122,-1.84531200441601,0.00946542304188488,0.00946542304188488,0.854051855684472,66,"tags=44%, list=2%, signal=44%","ENSMUSG00000032089/ENSMUSG00000022146/ENSMUSG00000092021/ENSMUSG00000000628"
"GO:0006163","BP","GO:0006163","purine nucleotide metabolic process",4,-0.802961992919466,-1.71022316875216,0.0110245379504002,0.0110245379504002,0.854051855684472,39,"tags=50%, list=1%, signal=49%","ENSMUSG00000021228/ENSMUSG00000000628"
"GO:0006753","BP","GO:0006753","nucleoside phosphate metabolic process",4,-0.802961992919466,-1.71022316875216,0.0110245379504002,0.0110245379504002,0.854051855684472,39,"tags=50%, list=1%, signal=49%","ENSMUSG00000021228/ENSMUSG00000000628"
"GO:0009117","BP","GO:0009117","nucleotide metabolic process",4,-0.802961992919466,-1.71022316875216,0.0110245379504002,0.0110245379504002,0.854051855684472,39,"tags=50%, list=1%, signal=49%","ENSMUSG00000021228/ENSMUSG00000000628"
