"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0070647","GO:0070647","protein modification by small protein conjugation or removal",17,-0.585876228457453,-2.13061800105658,0.000957623119689385,0.000957623119689385,0.88710894502558,370,"tags=41%, list=7%, signal=39%","ENSMUSG00000041560/ENSMUSG00000035692/ENSMUSG00000029475/ENSMUSG00000037868/ENSMUSG00000063851/ENSMUSG00000063760/ENSMUSG00000038451"
"GO:0030902","GO:0030902","hindbrain development",4,-0.887228744219139,-1.8620078180758,0.00100728303272925,0.00100728303272925,0.88710894502558,639,"tags=100%, list=11%, signal=89%","ENSMUSG00000034486/ENSMUSG00000029475/ENSMUSG00000037868"
"GO:0045333","GO:0045333","cellular respiration",6,-0.788180193722248,-1.97019258158927,0.00178754537861184,0.00178754537861184,0.88710894502558,420,"tags=67%, list=7%, signal=62%","ENSMUSG00000009876/ENSMUSG00000041560/ENSMUSG00000019992/ENSMUSG00000028341"
"GO:0045921","GO:0045921","positive regulation of exocytosis",4,-0.855263120243981,-1.79492225289407,0.00335220758608676,0.00335220758608676,0.88710894502558,487,"tags=75%, list=9%, signal=69%","ENSMUSG00000026241/ENSMUSG00000034584/ENSMUSG00000024261"
"GO:0032446","GO:0032446","protein modification by small protein conjugation",16,-0.561263686025091,-2.01405591308632,0.00400949888719021,0.00400949888719021,0.88710894502558,365,"tags=38%, list=6%, signal=35%","ENSMUSG00000035692/ENSMUSG00000029475/ENSMUSG00000037868/ENSMUSG00000063851/ENSMUSG00000063760/ENSMUSG00000038451"
"GO:0009887","GO:0009887","animal organ morphogenesis",58,0.436082203306984,1.65462811671891,0.00751561564759724,0.00751561564759724,0.88710894502558,1406,"tags=43%, list=25%, signal=33%","ENSMUSG00000031074/ENSMUSG00000026147/ENSMUSG00000079243/ENSMUSG00000034460/ENSMUSG00000058159/ENSMUSG00000021253/ENSMUSG00000071757/ENSMUSG00000015134/ENSMUSG00000075707/ENSMUSG00000029378/ENSMUSG00000022893/ENSMUSG00000037188/ENSMUSG00000026109/ENSMUSG00000021732/ENSMUSG00000041324/ENSMUSG00000021055/ENSMUSG00000022144/ENSMUSG00000040152/ENSMUSG00000014813/ENSMUSG00000007805/ENSMUSG00000042961/ENSMUSG00000023951/ENSMUSG00000045493/ENSMUSG00000036192/ENSMUSG00000039462"
"GO:0016567","GO:0016567","protein ubiquitination",14,-0.542173260194989,-1.84148867767318,0.00799746067344537,0.00799746067344537,0.88710894502558,365,"tags=36%, list=6%, signal=33%","ENSMUSG00000035692/ENSMUSG00000029475/ENSMUSG00000063851/ENSMUSG00000063760/ENSMUSG00000038451"
"GO:0009060","GO:0009060","aerobic respiration",4,-0.82424044710965,-1.72981563829202,0.00800873775717504,0.00800873775717504,0.88710894502558,420,"tags=75%, list=7%, signal=69%","ENSMUSG00000009876/ENSMUSG00000041560/ENSMUSG00000019992"
"GO:0060627","GO:0060627","regulation of vesicle-mediated transport",12,-0.576641259514428,-1.83922034703132,0.00946802076664252,0.00946802076664252,0.88710894502558,490,"tags=50%, list=9%, signal=46%","ENSMUSG00000025496/ENSMUSG00000026241/ENSMUSG00000034584/ENSMUSG00000024261/ENSMUSG00000052504/ENSMUSG00000045613"
"GO:0048738","GO:0048738","cardiac muscle tissue development",14,0.641975597614025,1.75417176789667,0.00957359110150992,0.00957359110150992,0.88710894502558,374,"tags=29%, list=7%, signal=27%","ENSMUSG00000029026/ENSMUSG00000031074/ENSMUSG00000079243/ENSMUSG00000030022"
