"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0030315","GO:0030315","T-tubule",4,0.880664826717826,1.71469662972065,0.00183326892607239,0.00183326892607239,0.234380025674411,393,"tags=75%, list=7%, signal=70%","ENSMUSG00000032034/ENSMUSG00000032601/ENSMUSG00000021253"
"GO:0042383","GO:0042383","sarcolemma",5,0.840441042055918,1.76156396767213,0.00240667858265082,0.00240667858265082,0.234380025674411,393,"tags=60%, list=7%, signal=56%","ENSMUSG00000032034/ENSMUSG00000032601/ENSMUSG00000021253"
"GO:0098588","GO:0098588","bounding membrane of organelle",20,-0.48126180760214,-1.79982914657962,0.00473032099889209,0.00473032099889209,0.234380025674411,733,"tags=50%, list=13%, signal=44%","ENSMUSG00000117975/ENSMUSG00000055069/ENSMUSG00000034112/ENSMUSG00000037161/ENSMUSG00000031662/ENSMUSG00000024261/ENSMUSG00000059479/ENSMUSG00000010830/ENSMUSG00000032487/ENSMUSG00000063851"
"GO:0031090","GO:0031090","organelle membrane",37,-0.391482925868406,-1.7753442094275,0.00492807385131179,0.00492807385131179,0.234380025674411,733,"tags=38%, list=13%, signal=33%","ENSMUSG00000117975/ENSMUSG00000055069/ENSMUSG00000034112/ENSMUSG00000025496/ENSMUSG00000020715/ENSMUSG00000009876/ENSMUSG00000037161/ENSMUSG00000031662/ENSMUSG00000024261/ENSMUSG00000059479/ENSMUSG00000010830/ENSMUSG00000032487/ENSMUSG00000063851/ENSMUSG00000052504"
"GO:0031965","GO:0031965","nuclear membrane",7,-0.722978249167496,-1.91405397986188,0.0052267846101101,0.0052267846101101,0.234380025674411,733,"tags=57%, list=13%, signal=50%","ENSMUSG00000117975/ENSMUSG00000020715/ENSMUSG00000032487/ENSMUSG00000052504"
"GO:0019866","GO:0019866","organelle inner membrane",4,-0.822487414250319,-1.76349222606799,0.00629153093313282,0.00629153093313282,0.235104576974963,446,"tags=75%, list=8%, signal=69%","ENSMUSG00000020715/ENSMUSG00000009876/ENSMUSG00000032487"
"GO:0009986","GO:0009986","cell surface",34,0.484080569775865,1.65283146361651,0.0154123175328595,0.0154123175328595,0.41896515834405,1783,"tags=56%, list=32%, signal=38%","ENSMUSG00000032034/ENSMUSG00000053216/ENSMUSG00000047953/ENSMUSG00000030022/ENSMUSG00000021253/ENSMUSG00000029378/ENSMUSG00000017652/ENSMUSG00000000263/ENSMUSG00000021732/ENSMUSG00000040152/ENSMUSG00000031861/ENSMUSG00000023951/ENSMUSG00000042604/ENSMUSG00000006445/ENSMUSG00000000555/ENSMUSG00000026814/ENSMUSG00000051136/ENSMUSG00000027568/ENSMUSG00000053846"
"GO:0031300","GO:0031300","intrinsic component of organelle membrane",7,-0.657136529310955,-1.73974084377863,0.0243314339548108,0.0243314339548108,0.41896515834405,446,"tags=71%, list=8%, signal=66%","ENSMUSG00000027359/ENSMUSG00000020715/ENSMUSG00000037161/ENSMUSG00000024261/ENSMUSG00000063851"
"GO:0031301","GO:0031301","integral component of organelle membrane",7,-0.657136529310955,-1.73974084377863,0.0243314339548108,0.0243314339548108,0.41896515834405,446,"tags=71%, list=8%, signal=66%","ENSMUSG00000027359/ENSMUSG00000020715/ENSMUSG00000037161/ENSMUSG00000024261/ENSMUSG00000063851"
"GO:0012505","GO:0012505","endomembrane system",96,0.363512183348858,1.47521321877183,0.0313199105145414,0.0313199105145414,0.41896515834405,1381,"tags=38%, list=25%, signal=29%","ENSMUSG00000029026/ENSMUSG00000079036/ENSMUSG00000031074/ENSMUSG00000028661/ENSMUSG00000027977/ENSMUSG00000040297/ENSMUSG00000058626/ENSMUSG00000054702/ENSMUSG00000019817/ENSMUSG00000030022/ENSMUSG00000021253/ENSMUSG00000052544/ENSMUSG00000032776/ENSMUSG00000033849/ENSMUSG00000075707/ENSMUSG00000036480/ENSMUSG00000008855/ENSMUSG00000016982/ENSMUSG00000021263/ENSMUSG00000024172/ENSMUSG00000031684/ENSMUSG00000005892/ENSMUSG00000032908/ENSMUSG00000022144/ENSMUSG00000027225/ENSMUSG00000040152/ENSMUSG00000023945/ENSMUSG00000044461/ENSMUSG00000032860/ENSMUSG00000027068/ENSMUSG00000021647/ENSMUSG00000026354/ENSMUSG00000023951/ENSMUSG00000027859/ENSMUSG00000006179/ENSMUSG00000027313"
