"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003158","GO:0003158","endothelium development","7/142","137/28891",5.39404414201286e-06,0.0126760037337302,0.0106234279891643,"Lcn2/Atoh8/Mesp1/Icam1/Stc1/Cldn5/Vegfa",7
"GO:0001667","GO:0001667","ameboidal-type cell migration","11/142","471/28891",2.25817905014998e-05,0.0208279370120932,0.0174553505709413,"Fn1/Gbx2/Lcn2/Prr5l/Atoh8/Mesp1/Wnt11/Itgb4/Stc1/Vegfa/Hbegf",11
"GO:0045446","GO:0045446","endothelial cell differentiation","6/142","118/28891",2.6588855760119e-05,0.0208279370120932,0.0174553505709413,"Atoh8/Mesp1/Icam1/Stc1/Cldn5/Vegfa",6
"GO:1903522","GO:1903522","regulation of blood circulation","8/142","268/28891",5.67610709737857e-05,0.0243283424160221,0.0203889490080077,"Trpa1/Adm/Icam1/Kcnj5/Scn10a/Stc1/Adm2/Hbegf",8
"GO:0007422","GO:0007422","peripheral nervous system development","5/142","83/28891",5.70265408437473e-05,0.0243283424160221,0.0203889490080077,"Ncmap/Egr2/Itgb4/Slc5a3/Onecut2",5
"GO:0060026","GO:0060026","convergent extension","3/142","16/28891",6.21149168068648e-05,0.0243283424160221,0.0203889490080077,"Mesp1/Wnt11/Sfrp5",3
"GO:0001894","GO:0001894","tissue homeostasis","8/142","283/28891",8.29819906462526e-05,0.0243759597523367,0.0204288558551498,"Flt3l/Muc2/Il10ra/Cdh23/Syk/Cartpt/Cldn5/Vegfa",8
"GO:0060249","GO:0060249","anatomical structure homeostasis","8/142","283/28891",8.29819906462526e-05,0.0243759597523367,0.0204288558551498,"Flt3l/Muc2/Il10ra/Cdh23/Syk/Cartpt/Cldn5/Vegfa",8
"GO:0043116","GO:0043116","negative regulation of vascular permeability","3/142","20/28891",0.000124638430372707,0.0309664883664223,0.0259522059276937,"Adm/Cldn5/Vegfa",3
"GO:0007229","GO:0007229","integrin-mediated signaling pathway","5/142","101/28891",0.000144949520013041,0.0309664883664223,0.0259522059276937,"Fn1/Isg15/Itgb4/Syk/Fyb",5
"GO:0120162","GO:0120162","positive regulation of cold-induced thermogenesis","5/142","101/28891",0.000144949520013041,0.0309664883664223,0.0259522059276937,"Trpm8/Lcn2/Plac8/Syk/Vegfa",5
"GO:0001704","GO:0001704","formation of primary germ layer","5/142","108/28891",0.00019845666155748,0.036543206887204,0.0306259082131954,"Fn1/Atoh8/Mesp1/Wnt11/Col12a1",5
"GO:0002064","GO:0002064","epithelial cell development","7/142","242/28891",0.000202153910439852,0.036543206887204,0.0306259082131954,"Slc4a5/Muc2/Icam1/Stc1/Cldn5/Vegfa/Onecut2",7
"GO:0030856","GO:0030856","regulation of epithelial cell differentiation","6/142","173/28891",0.000220758537418667,0.036616040770293,0.0306869483902433,"Atoh8/Mesp1/Lif/Wnt9a/Cldn5/Vegfa",6
"GO:0048562","GO:0048562","embryonic organ morphogenesis","8/142","335/28891",0.000262588524944533,0.036616040770293,0.0306869483902433,"Gbx2/Twist2/Mesp1/Wnt11/Fgf3/Cdh23/Wnt9a/Gjb6",8
"GO:0030858","GO:0030858","positive regulation of epithelial cell differentiation","4/142","63/28891",0.000266047676514169,0.036616040770293,0.0306869483902433,"Atoh8/Mesp1/Lif/Wnt9a",4
"GO:0035148","GO:0035148","tube formation","6/142","182/28891",0.000289954218204468,0.036616040770293,0.0306869483902433,"Atoh8/Adm/Fgf3/Vegfa/Tgif1/Sfrp5",6
"GO:0051969","GO:0051969","regulation of transmission of nerve impulse","3/142","27/28891",0.000311838575646512,0.036616040770293,0.0306869483902433,"Trpa1/Glra1/Cartpt",3
"GO:0007369","GO:0007369","gastrulation","6/142","186/28891",0.000325698420859963,0.036616040770293,0.0306869483902433,"Fn1/Atoh8/Mesp1/Wnt11/Col12a1/Tgif1",6
"GO:0001759","GO:0001759","organ induction","3/142","28/28891",0.000348005356265955,0.036616040770293,0.0306869483902433,"Mesp1/Wnt11/Fgf3",3
"GO:0050731","GO:0050731","positive regulation of peptidyl-tyrosine phosphorylation","6/142","189/28891",0.00035470369249037,0.036616040770293,0.0306869483902433,"Icam1/Lif/Syk/Vegfa/Hbegf/Clcf1",6
"GO:0050730","GO:0050730","regulation of peptidyl-tyrosine phosphorylation","7/142","266/28891",0.000358369760730527,0.036616040770293,0.0306869483902433,"Icam1/Lif/Syk/Samsn1/Vegfa/Hbegf/Clcf1",7
"GO:0051896","GO:0051896","regulation of protein kinase B signaling","7/142","266/28891",0.000358369760730527,0.036616040770293,0.0306869483902433,"Fn1/Prr5l/Gdf15/Vegfa/Hbegf/Clcf1/Sfrp5",7
"GO:0001885","GO:0001885","endothelial cell development","4/142","71/28891",0.000420988263339953,0.0412217674520371,0.034546887750397,"Icam1/Stc1/Cldn5/Vegfa",4
"GO:0008016","GO:0008016","regulation of heart contraction","6/142","197/28891",0.000442008625263494,0.0415488107747685,0.034820974226021,"Adm/Kcnj5/Scn10a/Stc1/Adm2/Hbegf",6
"GO:2000027","GO:2000027","regulation of animal organ morphogenesis","5/142","134/28891",0.000536813869640596,0.0461298220135529,0.0386602002183012,"Mesp1/Wnt11/Fgf3/Vegfa/Sfrp5",5
"GO:0010927","GO:0010927","cellular component assembly involved in morphogenesis","5/142","135/28891",0.00055528308200078,0.0461298220135529,0.0386602002183012,"Lmod1/Ncmap/Xirp1/Itgb4/Myoz1",5
"GO:0003156","GO:0003156","regulation of animal organ formation","3/142","33/28891",0.000569261633358738,0.0461298220135529,0.0386602002183012,"Mesp1/Wnt11/Fgf3",3
"GO:0035987","GO:0035987","endodermal cell differentiation","3/142","33/28891",0.000569261633358738,0.0461298220135529,0.0386602002183012,"Fn1/Mesp1/Col12a1",3
