"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005125","GO:0005125","cytokine activity","9/144","236/28407",3.47992986501367e-06,0.0010683384685592,0.000879140176424506,"Flt3l/Wnt11/Gdf15/Lif/Wnt9a/Alkal2/Ltb/Vegfa/Clcf1",9
"GO:0030297","GO:0030297","transmembrane receptor protein tyrosine kinase activator activity","3/144","19/28407",0.000116467529441496,0.0136928373596518,0.0112678929069653,"Alkal2/Vegfa/Hbegf",3
"GO:0005178","GO:0005178","integrin binding","6/144","153/28407",0.000133806228270213,0.0136928373596518,0.0112678929069653,"Fn1/Isg15/Icam1/Itgb4/Syk/Itgb1bp2",6
"GO:0030295","GO:0030295","protein kinase activator activity","5/144","135/28407",0.000638197731285641,0.0260289568393153,0.0214193370184662,"Wnt11/Gprc5c/Alkal2/Vegfa/Hbegf",5
"GO:0030296","GO:0030296","protein tyrosine kinase activator activity","3/144","34/28407",0.000680297810678009,0.0260289568393153,0.0214193370184662,"Alkal2/Vegfa/Hbegf",3
"GO:0015276","GO:0015276","ligand-gated ion channel activity","5/144","138/28407",0.000704917775642896,0.0260289568393153,0.0214193370184662,"Trpa1/Trpm8/Slc1a7/Kcnj5/Glra1",5
"GO:0022834","GO:0022834","ligand-gated channel activity","5/144","142/28407",0.000801829349577064,0.0260289568393153,0.0214193370184662,"Trpa1/Trpm8/Slc1a7/Kcnj5/Glra1",5
"GO:0019209","GO:0019209","kinase activator activity","5/144","145/28407",0.000880789052603094,0.0260289568393153,0.0214193370184662,"Wnt11/Gprc5c/Alkal2/Vegfa/Hbegf",5
"GO:1901681","GO:1901681","sulfur compound binding","7/144","301/28407",0.000892975887034075,0.0260289568393153,0.0214193370184662,"Fn1/Muc2/Impg1/Glra1/Colq/Vegfa/Hbegf",7
"GO:0050839","GO:0050839","cell adhesion molecule binding","7/144","306/28407",0.000982573843683968,0.0260289568393153,0.0214193370184662,"Fn1/Isg15/Icam1/Cdh23/Itgb4/Syk/Itgb1bp2",7
"GO:0008083","GO:0008083","growth factor activity","5/144","149/28407",0.000994902382406995,0.0260289568393153,0.0214193370184662,"Fgf3/Gdf15/Lif/Vegfa/Hbegf",5
"GO:0042562","GO:0042562","hormone binding","4/144","87/28407",0.00101741850837714,0.0260289568393153,0.0214193370184662,"Gipr/Hcrtr2/Glp2r/Hk3",4
"GO:0019887","GO:0019887","protein kinase regulator activity","6/144","230/28407",0.00116234737053987,0.0274492802119801,0.0225881270388315,"Trib3/Wnt11/Gprc5c/Alkal2/Vegfa/Hbegf",6
"GO:0015081","GO:0015081","sodium ion transmembrane transporter activity","5/144","160/28407",0.00136536276866582,0.0299404549986004,0.0246381251488568,"Slc1a7/Slc4a5/Scn10a/Atp12a/Slc5a3",5
"GO:0046873","GO:0046873","metal ion transmembrane transporter activity","8/144","437/28407",0.00179642023844413,0.0360615276753723,0.0296751813546695,"Trpa1/Trpm8/Slc1a7/Slc4a5/Kcnj5/Scn10a/Atp12a/Slc5a3",8
"GO:0004865","GO:0004865","protein serine/threonine phosphatase inhibitor activity","2/144","13/28407",0.00191885041046434,0.0360615276753723,0.0296751813546695,"Ppp1r17/Myoz1",2
"GO:0017046","GO:0017046","peptide hormone binding","3/144","51/28407",0.00222329234485338,0.0360615276753723,0.0296751813546695,"Gipr/Hcrtr2/Glp2r",3
"GO:0005536","GO:0005536","glucose binding","2/144","14/28407",0.00223123020532406,0.0360615276753723,0.0296751813546695,"Hk2/Hk3",2
"GO:0008201","GO:0008201","heparin binding","5/144","179/28407",0.0022318209310491,0.0360615276753723,0.0296751813546695,"Fn1/Impg1/Colq/Vegfa/Hbegf",5
"GO:0019207","GO:0019207","kinase regulator activity","6/144","266/28407",0.00242075747241316,0.037158627201542,0.0305779891252189,"Trib3/Wnt11/Gprc5c/Alkal2/Vegfa/Hbegf",6
"GO:0015294","GO:0015294","solute:cation symporter activity","4/144","113/28407",0.00265946855417991,0.0388788974349159,0.031993606666826,"Slc1a7/Slc4a5/Slc16a3/Slc5a3",4
