"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007218","BP","GO:0007218","neuropeptide signaling pathway","15/512","88/29008",3.99421154494339e-11,1.66918100463184e-07,1.2495575485865e-07,"Npbwr1/Ntsr1/Penk/Nmu/Tac1/Prok2/Hcrtr2/Nts/Glra1/Sstr2/Cartpt/Mchr1/Adcyap1/Galr1/Ptgdr2",15
"GO:0007631","BP","GO:0007631","feeding behavior","16/512","128/29008",1.06843173446912e-09,2.23248810917322e-06,1.67125216570643e-06,"Bdnf/Ghsr/Nr4a3/Lepr/Dmbx1/Nmu/Trh/Hcrtr2/Htr1b/Esr2/Cartpt/Mchr1/Adm2/Mc4r/Apln/Htr2c",16
"GO:0043588","BP","GO:0043588","skin development","23/512","294/29008",3.30024854222938e-09,4.59724621932552e-06,3.44152233947569e-06,"Ptgs2/Opn3/Irf6/Gnasas1/Sprr2f/Grhl3/Epha2/Fosl2/Lncpint/Zfp36/Barx2/Pou2f3/Exph5/Edar/Madcam1/Lgr5/Adamts2/Col1a1/Inhba/Fst/Fgf10/Cldn1/Pnpla1",23
"GO:0003012","BP","GO:0003012","muscle system process","27/512","425/29008",1.29062397733875e-08,1.08972831190967e-05,8.15776260499376e-06,"Nppc/Lmod1/Ptgs2/Rgs4/Ghsr/Nr4a3/Trim63/Nmu/Chrm2/Prok2/Akap13/Tpm4/Kcnj5/Kbtbd13/Mlip/Tacr2/Pawr/Glra1/Myocd/Chrne/Kcnj2/Sstr2/Arg2/Asb2/Stc1/Htr2a/Gdnf",27
"GO:0060537","BP","GO:0060537","muscle tissue development","29/512","486/29008",1.49418035299163e-08,1.08972831190967e-05,8.15776260499376e-06,"Rgs4/Atf3/Eng/Bdnf/Bmp2/Tiparp/Heyl/Trp73/Adamts9/Nphs1/Akap13/Mesp1/Arntl/Fgf3/Sap30/Xirp1/Plagl1/Egr2/Myocd/Hdac5/Ifrd1/Six4/Fos/Asb2/Maff/Sik1/Vegfa/Tll2/Nrap",29
"GO:0014706","BP","GO:0014706","striated muscle tissue development","28/512","461/29008",1.82181364106258e-08,1.08972831190967e-05,8.15776260499376e-06,"Rgs4/Atf3/Eng/Bdnf/Bmp2/Heyl/Trp73/Adamts9/Nphs1/Akap13/Mesp1/Arntl/Fgf3/Sap30/Xirp1/Plagl1/Egr2/Myocd/Hdac5/Ifrd1/Six4/Fos/Asb2/Maff/Sik1/Vegfa/Tll2/Nrap",28
"GO:0007188","BP","GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","19/512","222/29008",1.8253405559626e-08,1.08972831190967e-05,8.15776260499376e-06,"Chrm2/Gpr4/Akap13/Adm/Calcb/Drd4/Lpar2/Htr1b/Gnat1/Lgr5/Sstr2/Adcy8/Adm2/Pde10a/Adcyap1/Mc4r/Galr1/Ptgdr2/Gpr101",19
"GO:0008544","BP","GO:0008544","epidermis development","23/512","333/29008",3.4108271049718e-08,1.78173080895964e-05,1.33381291526002e-05,"Ptgs2/Opn3/Irf6/Sprr2f/Grhl3/Epha2/Fosl2/Lncpint/Zfp36/Ntf5/Barx2/Pou2f3/Exph5/Edar/Cdh23/Madcam1/Lgr5/Inhba/Fst/Fgf10/Maff/Pnpla1/Pou4f3",23
"GO:0030534","BP","GO:0030534","adult behavior","17/512","190/29008",5.35443031954421e-08,2.48624047837503e-05,1.86121250405677e-05,"Nr4a2/Bdnf/Ntsr1/Ghsr/Ngf/Nr4a3/Dmbx1/Trh/Ntf5/Drd4/Cdh23/Glra1/Cartpt/Htr2a/Pcdh17/Klhl1/Htr2c",17
"GO:0051952","BP","GO:0051952","regulation of amine transport","13/512","116/29008",1.45979178639963e-07,6.10046987536404e-05,4.56684335703125e-05,"Rgs4/Ntsr1/Crh/Ghsr/Trh/Htr1b/Tacr2/Arg2/Cartpt/Htr2a/Gdnf/Syt4/Htr2c",13
"GO:0060562","BP","GO:0060562","epithelial tube morphogenesis","24/512","394/29008",1.81020955242964e-07,6.6951554727539e-05,5.01202807647878e-05,"Gbx2/Kif26b/Eng/Cd44/Spint1/Bmp2/Grhl3/Epha2/Slit2/Areg/Shroom3/Kdm2b/Mesp1/Adm/Fgf3/Mst1/Lgr5/Hdac5/Six4/Asb2/Fgf10/Gdnf/Vegfa/Tgif1",24
"GO:0006936","BP","GO:0006936","muscle contraction","21/512","312/29008",2.07118531744771e-07,6.6951554727539e-05,5.01202807647878e-05,"Lmod1/Ptgs2/Ghsr/Trim63/Nmu/Chrm2/Prok2/Tpm4/Kcnj5/Kbtbd13/Tacr2/Pawr/Glra1/Myocd/Chrne/Kcnj2/Sstr2/Arg2/Stc1/Htr2a/Gdnf",21
"GO:0045444","BP","GO:0045444","fat cell differentiation","19/512","260/29008",2.23300280783995e-07,6.6951554727539e-05,5.01202807647878e-05,"Ptgs2/Nr4a2/Bmp2/Trib3/Nr4a3/Plac8/Zfp36/Arntl/Egr2/Arid5b/Fgf10/Gdf10/Ebf2/Htr2a/Vegfa/Mkx/Lncbate10/Zbtb7c/Htr2c",19
"GO:0072001","BP","GO:0072001","renal system development","22/512","342/29008",2.32859176393321e-07,6.6951554727539e-05,5.01202807647878e-05,"Kif26b/Cd44/Bdnf/Fbn1/Bmp2/Tiparp/Heyl/Slit2/Gpr4/Sim1/Arid5b/Lgr5/Myocd/Hdac5/Cys1/Six4/Arg2/Fgf10/Gdnf/Adamts1/Vegfa/Gcnt1",22
"GO:0015837","BP","GO:0015837","amine transport","13/512","121/29008",2.40314266789444e-07,6.6951554727539e-05,5.01202807647878e-05,"Rgs4/Ntsr1/Crh/Ghsr/Trh/Htr1b/Tacr2/Arg2/Cartpt/Htr2a/Gdnf/Syt4/Htr2c",13
"GO:0007611","BP","GO:0007611","learning or memory","21/512","317/29008",2.69614813818445e-07,7.04200191842051e-05,5.27167912281854e-05,"Ptgs2/Nr4a2/Bdnf/Lrrn4/Ntsr1/Crh/Ghsr/Ngf/Tac1/Hrh1/Ntf5/Drd4/Tpbg/Tacr2/Nts/Esr2/Htr2a/Adcy8/Itga5/Syt4/Ptchd1",21
"GO:0060485","BP","GO:0060485","mesenchyme development","20/512","293/29008",3.22368313713196e-07,7.92457166474969e-05,5.93237540777473e-05,"Gbx2/Eng/Thbs1/Bmp2/Pax1/Heyl/Radil/Mesp1/Tgfbr3l/Kitl/Pawr/Myocd/Col1a1/Six4/Tgfb3/Fgf10/Il17rd/Gdnf/Epha3/Vegfa",20
"GO:0007626","BP","GO:0007626","locomotory behavior","19/512","268/29008",3.56089341000607e-07,7.9326822504951e-05,5.93844703428708e-05,"Nr4a2/Ntsr1/Crh/Ghsr/Ngf/Penk/Lepr/Tal1/Dmbx1/Trh/Ntf5/Aldh1a3/Drd4/Cdh23/Glra1/Fezf2/Klhl1/Adcy8/Htr2c",19
