"","Ctl_1","Ctl_2","Ctl_3","Ctl_4","Ctl_5","t24_1","t24_2","t24_3","t24_4","t24_5","t6_1","t6_2","t6_3","t6_4","t6_5"
"Xkr4",2851,3733,1641,1287,3440,1695,4393,1980,4078,4125,1387,2651,1496,1551,3730
"Gm53491",29,11,14,11,27,22,34,24,40,71,9,25,9,21,28
"Mrpl15",2561,2579,2426,2231,2813,2586,2833,2830,2224,2430,1832,1981,2259,1807,1801
"Lypla1",697,978,454,448,881,492,1059,624,833,1026,407,860,608,563,850
"Tcea1",2289,2810,1513,1666,2699,1913,3447,2304,3047,3832,1474,2457,1755,1565,2845
"Rgs20",728,850,638,587,886,682,880,770,718,920,644,977,819,746,1095
"Atp6v1h",7222,7335,5521,5711,7671,6566,8185,7313,6593,7549,5763,7524,7563,6344,7834
"Npbwr1",12,8,1,6,3,8,12,10,5,10,9,17,23,10,27
"Rb1cc1",1883,2940,1194,939,2672,1494,3368,1664,3642,4111,1155,2340,1225,1251,3786
"St18",46,76,36,21,51,34,91,46,69,71,180,269,112,121,341
"Pcmtd1",1737,2757,1060,821,2240,1163,2744,1250,2874,3202,1001,2163,1001,1042,2997
"Gm26901",14,12,20,13,12,22,12,11,13,6,10,12,5,15,5
"Sntg1",494,571,334,370,576,389,652,457,569,663,370,495,464,380,653
"Rrs1",2001,1947,1726,1744,2112,1782,1898,1909,1576,1983,1508,1872,2091,1609,1867
"Adhfe1",327,408,303,278,397,318,328,270,279,295,280,349,350,264,376
"2610203C22Rik",17,24,7,10,18,12,14,8,13,14,8,24,12,15,30
"Vxn",12674,14618,10147,10292,14411,11704,15487,12851,12607,13563,11427,15826,12971,11201,15993
"Mybl1",49,59,38,24,82,66,91,51,102,129,35,61,22,32,97
"Vcpip1",2240,2922,1346,1105,2800,1624,3075,1733,2989,3298,1397,2872,1589,1498,3810
"Sgk3",184,282,91,120,269,125,334,167,289,246,112,216,143,128,246
"Mcmdc2",28,26,23,21,40,26,38,19,39,41,18,28,17,19,39
"Snhg6",314,356,299,291,403,305,361,407,317,407,302,385,406,311,406
"Snord87",9,28,28,19,29,6,28,27,16,11,18,27,20,9,12
"Tcf24",14,13,8,17,16,11,13,6,21,13,4,9,11,9,20
"Ppp1r42",11,12,8,1,12,12,13,8,13,19,3,15,2,8,11
"Cops5",4029,3570,3364,3163,3948,3691,4050,3937,3201,3706,2839,3396,3846,3036,3327
"Cspp1",340,467,197,198,431,252,561,319,513,699,318,636,373,347,753
"Arfgef1",3140,4267,1849,1689,4016,2333,5136,2756,4557,5086,1840,3528,2040,2127,4687
"Prex2",185,308,142,81,233,120,212,112,241,171,106,258,128,119,321
"A830018L16Rik",1108,1613,662,581,1460,724,1561,884,1518,1738,721,1381,779,824,1837
"Sulf1",263,379,242,237,281,301,306,265,249,243,241,365,310,260,358
"Slco5a1",211,246,179,186,269,191,332,277,277,318,168,239,194,153,268
"Ncoa2",3129,3793,2047,2061,3979,2757,4268,3229,3644,3976,1898,3083,2439,2371,3589
"Tram1",1079,1189,855,891,1265,936,1115,905,839,997,850,1208,1076,983,1338
"Lactb2",535,659,405,373,650,470,695,522,602,772,366,608,431,439,731
"Eya1",224,266,129,165,296,179,312,223,275,244,235,376,254,257,385
"Msc",20,20,22,19,11,26,25,22,12,12,11,12,15,12,13
"Gm9947",7,13,7,8,27,11,12,7,25,16,5,12,4,15,29
"Trpa1",27,37,16,13,41,12,15,13,17,8,29,40,14,34,32
"Kcnb2",811,914,458,435,895,565,1195,644,1211,1316,475,708,494,443,942
"Terf1",134,236,130,105,191,150,291,186,236,278,103,186,130,114,199
"Sbspon",11,24,9,4,17,13,14,3,15,12,3,9,5,7,13
"4930444P10Rik",19,30,19,25,33,28,19,28,19,27,17,20,26,18,22
"Rpl7",10403,9133,8124,7737,10021,10388,10308,10205,7611,9099,7288,8387,9953,8455,9265
"Rdh10",320,307,259,258,338,215,272,232,195,221,186,239,222,191,243
"Stau2",4506,4453,3159,3375,4716,3908,5350,4342,4270,5223,3065,4481,4178,3284,4733
"Ube2w",2006,2465,1371,1360,2301,1735,2746,1898,2284,2563,1450,2253,1772,1472,2539
"Eloc",1516,2102,982,844,1966,1034,2163,1321,1938,2205,1042,1847,1169,1138,2211
"Tmem70",1108,1085,819,865,1030,970,1238,1035,910,1076,683,927,849,656,964
"Ly96",8,13,7,14,7,13,15,17,8,11,13,19,14,9,11
"Gm53492",13,6,12,4,9,11,12,8,10,9,4,3,7,5,6
"Jph1",752,953,617,708,930,611,1231,881,943,1003,825,985,756,778,1090
"Gm46085",14,13,10,16,9,12,26,19,25,14,6,21,7,9,15
"Gdap1",3220,4515,2096,2070,4160,2390,4814,2969,4340,4761,2170,3962,2560,2250,4710
"Pi15",29,59,26,15,59,59,78,60,79,155,37,119,32,60,163
