"","SampleID","Tissue","Factor","Condition","Treatment","Replicate","bamReads","bamControl","ControlID","Peaks","PeakCaller"
"1","IP_C_1","Neurons","m6A_1","control",0,1,"/home/gonzalal/scratch/m6a-5r//mapped_data/IP_Ctl_1/IP_Ctl_1_Aligned.sortedByCoord.out.bam","/home/gonzalal/scratch/m6a-5r//mapped_data/Input_Ctl_1/Input_Ctl_1_Aligned.sortedByCoord.out.bam","ctl_1","/home/gonzalal/scratch/m6a-5r//MACS/Ctl_1/Ctl_1_peaks.narrowPeak","macs"
"2","IP_C_2","Neurons","m6A_2","control",0,2,"/home/gonzalal/scratch/m6a-5r//mapped_data/IP_Ctl_2/IP_Ctl_2_Aligned.sortedByCoord.out.bam","/home/gonzalal/scratch/m6a-5r//mapped_data/Input_Ctl_2/Input_Ctl_2_Aligned.sortedByCoord.out.bam","ctl_2","/home/gonzalal/scratch/m6a-5r//MACS/Ctl_2/Ctl_2_peaks.narrowPeak","macs"
"3","IP_C_3","Neurons","m6A_3","control",0,3,"/home/gonzalal/scratch/m6a-5r//mapped_data/IP_Ctl_3/IP_Ctl_3_Aligned.sortedByCoord.out.bam","/home/gonzalal/scratch/m6a-5r//mapped_data/Input_Ctl_3/Input_Ctl_3_Aligned.sortedByCoord.out.bam","ctl_3","/home/gonzalal/scratch/m6a-5r//MACS/Ctl_3/Ctl_3_peaks.narrowPeak","macs"
"4","IP_C_4","Neurons","m6A_4","control",0,4,"/home/gonzalal/scratch/m6a-5r//mapped_data/IP_Ctl_4/IP_Ctl_4_Aligned.sortedByCoord.out.bam","/home/gonzalal/scratch/m6a-5r//mapped_data/Input_Ctl_4/Input_Ctl_4_Aligned.sortedByCoord.out.bam","ctl_4","/home/gonzalal/scratch/m6a-5r//MACS/Ctl_4/Ctl_4_peaks.narrowPeak","macs"
"5","IP_C_5","Neurons","m6A_5","control",0,5,"/home/gonzalal/scratch/m6a-5r//mapped_data/IP_Ctl_5/IP_Ctl_5_Aligned.sortedByCoord.out.bam","/home/gonzalal/scratch/m6a-5r//mapped_data/Input_Ctl_5/Input_Ctl_5_Aligned.sortedByCoord.out.bam","ctl_5","/home/gonzalal/scratch/m6a-5r//MACS/Ctl_5/Ctl_5_peaks.narrowPeak","macs"
"6","IP_6_1","Neurons","m6A_1","lactate",6,1,"/home/gonzalal/scratch/m6a-5r//mapped_data/IP_t6_1/IP_t6_1_Aligned.sortedByCoord.out.bam","/home/gonzalal/scratch/m6a-5r//mapped_data/Input_t6_1/Input_t6_1_Aligned.sortedByCoord.out.bam","t6_1","/home/gonzalal/scratch/m6a-5r//MACS/t6_1/t6_1_peaks.narrowPeak","macs"
"7","IP_6_2","Neurons","m6A_2","lactate",6,2,"/home/gonzalal/scratch/m6a-5r//mapped_data/IP_t6_2/IP_t6_2_Aligned.sortedByCoord.out.bam","/home/gonzalal/scratch/m6a-5r//mapped_data/Input_t6_2/Input_t6_2_Aligned.sortedByCoord.out.bam","t6_2","/home/gonzalal/scratch/m6a-5r//MACS/t6_2/t6_2_peaks.narrowPeak","macs"
"8","IP_6_3","Neurons","m6A_3","lactate",6,3,"/home/gonzalal/scratch/m6a-5r//mapped_data/IP_t6_3/IP_t6_3_Aligned.sortedByCoord.out.bam","/home/gonzalal/scratch/m6a-5r//mapped_data/Input_t6_3/Input_t6_3_Aligned.sortedByCoord.out.bam","t6_3","/home/gonzalal/scratch/m6a-5r//MACS/t6_3/t6_3_peaks.narrowPeak","macs"
"9","IP_6_4","Neurons","m6A_4","lactate",6,4,"/home/gonzalal/scratch/m6a-5r//mapped_data/IP_t6_4/IP_t6_4_Aligned.sortedByCoord.out.bam","/home/gonzalal/scratch/m6a-5r//mapped_data/Input_t6_4/Input_t6_4_Aligned.sortedByCoord.out.bam","t6_4","/home/gonzalal/scratch/m6a-5r//MACS/t6_4/t6_4_peaks.narrowPeak","macs"
"10","IP_6_5","Neurons","m6A_5","lactate",6,5,"/home/gonzalal/scratch/m6a-5r//mapped_data/IP_t6_5/IP_t6_5_Aligned.sortedByCoord.out.bam","/home/gonzalal/scratch/m6a-5r//mapped_data/Input_t6_5/Input_t6_5_Aligned.sortedByCoord.out.bam","t6_5","/home/gonzalal/scratch/m6a-5r//MACS/t6_5/t6_5_peaks.narrowPeak","macs"
