"","seqnames","start","end","width","strand","Conc","Conc_0","Conc_6","Fold","p.value","FDR"
"1598","NC_000067.7",190903507,190903907,401,"*",8.61131666043497,6.25398784006483,9.46319389135084,-3.17777161446665,1.14682161503492e-61,2.07081579026856e-57
"3902","NC_000069.7",65436292,65436692,401,"*",7.03389264266421,2.06968067784418,8.01059728300159,-5.73654722983045,2.67555365788844e-35,2.41562362002458e-31
"20311","NC_000082.7",4105893,4106293,401,"*",9.04242879426644,9.60783075409081,8.09956779294959,1.46772791016209,8.23857117533299e-33,4.95879599043293e-29
"18177","NC_000079.7",95574349,95574749,401,"*",7.71266894435661,5.45492465404318,8.55335480780104,-3.05392867515868,1.66172051929197e-32,7.50142185421376e-29
"18350","NC_000079.7",113799467,113799867,401,"*",8.96061394898423,7.70683154031386,9.62113433189052,-1.86279296418079,1.17339337461753e-31,4.23759283309373e-28
"1597","NC_000067.7",190902667,190903067,401,"*",7.7502263785374,5.67597418606253,8.56788353772666,-2.84602213830918,3.20215219917374e-29,9.63687704341336e-26
"13594","NC_000076.7",13004379,13004779,401,"*",12.1562595065981,10.9019376997374,12.816922958064,-1.85197275255494,1.26179424325816e-26,3.25488837864466e-23
"737","NC_000067.7",91728167,91728567,401,"*",6.10255343704511,6.96537601304632,3.63985676042051,3.28511426516261,1.7559976000807e-25,3.96350608308215e-22
"14825","NC_000077.7",5009993,5010393,401,"*",9.29056231070101,10.0091109314826,7.79431496148728,2.14053504318563,4.26616858851505e-25,8.55935624475736e-22
"19779","NC_000081.7",64571112,64571512,401,"*",8.04493915010958,6.90663201735769,8.67320664314826,-1.7000553407788,3.07860722582228e-24,5.55904106766729e-21
"13076","NC_000075.7",89796917,89797317,401,"*",8.83334316553338,7.86463487015906,9.40772243435292,-1.485617953223,5.08441825747785e-24,8.34630367957069e-21
"1714","NC_000068.8",13015996,13016396,401,"*",12.5388651958336,11.5982164840021,13.1034886536109,-1.44657126072419,2.24556111145979e-22,3.37900808246912e-19
"13731","NC_000076.7",29329997,29330397,401,"*",8.52968274834313,7.27854110806322,9.18950172302176,-1.8338520324707,3.80971590941809e-22,5.29169539818173e-19
"23794","NC_000086.8",6690699,6691099,401,"*",5.73710027586523,1.56423090061127,6.69654232810003,-4.97990642975882,6.51043182524755e-22,8.39706196203536e-19
"2921","NC_000068.8",139599146,139599546,401,"*",7.69026459991829,6.41389607781496,8.35671820328208,-1.86088998844366,5.24411716030493e-21,6.31286823757507e-18
"7380","NC_000071.7",117903711,117904111,401,"*",8.57955561838514,9.07673240449959,7.81479547338965,1.21007874386713,1.23134533104501e-20,1.38965016516748e-17
"21736","NC_000083.7",46342703,46343103,401,"*",11.7867230707376,10.6892751946981,12.402758414384,-1.63620865482274,1.7111750423184e-20,1.81756986700843e-17
"6497","NC_000071.7",31090767,31091167,401,"*",10.9390350863364,10.2428774638007,11.4066131287126,-1.11888011037294,3.20681541598685e-20,3.2169703314708e-17
"24522","NC_000086.8",156381253,156381653,401,"*",6.71602405064953,3.90585608474037,7.60932500770156,-3.60006674956312,3.67188939012099e-20,3.48964772196919e-17
"7037","NC_000071.7",93190271,93190671,401,"*",6.59820351462035,4.94594442554977,7.3482597657057,-2.31767203708424,9.4498303146408e-20,8.53177929957345e-17
"2388","NC_000068.8",83554380,83554780,401,"*",7.12410674436738,5.0793479784228,7.93774390898514,-2.78381191322744,3.52166969411137e-19,3.02813284126519e-16
"2389","NC_000068.8",83555489,83555889,401,"*",5.78236473947769,2.97190781410205,6.67568787516723,-3.55519002337626,4.16942405520372e-19,3.42214955294607e-16
"17719","NC_000079.7",53050491,53050891,401,"*",6.20339735689601,3.9628061155024,7.04206713609817,-2.99583777722986,1.03041813696119e-18,8.08967839091658e-16
"3901","NC_000069.7",65435300,65435700,401,"*",6.61867553778215,2.35425815618065,7.58064445671892,-4.97165417200604,2.55710281754315e-18,1.92390023234903e-15
"22885","NC_000084.7",66993190,66993590,401,"*",8.09108601016516,6.85685527038235,8.7463745507298,-1.78755306591025,6.37517517410575e-18,4.6046615247531e-15
"8134","NC_000072.7",30934203,30934603,401,"*",7.17605586214577,5.74405991580346,7.88038092046351,-2.02794877207465,1.78304702142733e-17,1.23832615638128e-14
"21029","NC_000082.7",89585857,89586257,401,"*",9.46523611319286,9.78460135954262,9.05445993686527,0.690265512189444,3.69015508905996e-17,2.46789372011688e-14
"13398","NC_000075.7",119801799,119802199,401,"*",7.39315970796331,6.14823109951467,8.05132202819515,-1.79166161042103,1.27794790480809e-16,8.24139475611415e-14
"14031","NC_000076.7",62935483,62935883,401,"*",5.02959625520504,1.97210016986528,5.94023966237515,-3.76731287607955,1.64032939142536e-16,1.02135958003337e-13
"22945","NC_000084.7",74063317,74063717,401,"*",9.38345733861964,8.58604320275845,9.89403493839198,-1.23815889701646,2.79955185053469e-16,1.68505025883683e-13
"12956","NC_000075.7",75542700,75543100,401,"*",9.52246108267711,9.91554150896347,8.98043493674865,0.885472880147997,3.25807239792281e-16,1.89777462223523e-13
"6078","NC_000070.7",145296704,145297104,401,"*",5.46384269316111,1.95330108139234,6.39911772067472,-4.24799051920971,4.12501967155126e-16,2.32767125653754e-13
"14064","NC_000076.7",67932830,67933230,401,"*",8.14574457740428,7.3542764895195,8.65391370629608,-1.23389632359634,4.81482001100388e-16,2.63458196783931e-13
"6863","NC_000071.7",69267805,69268205,401,"*",5.95940459793256,4.33812448211681,6.70352528118294,-2.25071329920225,6.37092170250048e-16,3.38352156417798e-13
"9111","NC_000072.7",136537903,136538303,401,"*",9.25550901172096,9.62716832367016,8.75357585214326,0.827051363999473,1.55513693775295e-15,8.02317362428713e-13
"9448","NC_000073.7",19043425,19043825,401,"*",8.17837173284695,6.48192610468787,8.9366362456605,-2.33507561143565,1.75983224403202e-15,8.82702523069059e-13
"15319","NC_000077.7",59854577,59854977,401,"*",8.52801115715197,7.55083077861369,9.10528619611601,-1.45955289990275,2.23065639545686e-15,1.08862060899364e-12
"4909","NC_000070.7",32579691,32580428,738,"*",8.3156823868415,7.27123738079493,8.91516074061889,-1.54101725347167,2.97420558014151e-15,1.41329553054251e-12
"19319","NC_000080.7",118943930,118944330,401,"*",7.48837207728645,8.02573502525103,6.62241612580612,1.31765351209351,4.01280720539268e-15,1.85792973609681e-12
"3400","NC_000068.8",180185062,180185462,401,"*",7.59994882451433,8.14754721004947,6.70656381220254,1.35102059654702,4.67337904837215e-15,2.1096801369114e-12
"7524","NC_000071.7",125420354,125420754,401,"*",6.73585277737922,7.4174516316573,5.39973002507488,1.8948598778242,5.77554976445305e-15,2.54363663650558e-12
"16164","NC_000077.7",113671349,113671749,401,"*",9.5289676562184,9.89351967175065,9.03996646821303,0.804462890139053,1.44278764492261e-14,6.20295631056373e-12
"2370","NC_000068.8",81822473,81822873,401,"*",6.95874702398231,3.38253673017926,7.89696474148766,-4.25716753233952,1.96341253806988e-14,8.2449628371925e-12
"12644","NC_000075.7",50968477,50968877,401,"*",7.25401038449547,5.96618395677838,7.92342941761469,-1.82742070144403,2.68314642865679e-14,1.10112670596035e-11
"3131","NC_000068.8",157402683,157403083,401,"*",8.4478225066546,7.54951123954299,8.99723108106566,-1.35632512052447,3.07495972742333e-14,1.22126374699809e-11
"15111","NC_000077.7",44454961,44455361,401,"*",11.9668925991483,12.3053139880646,11.523940215187,0.732721596249544,3.1111553614616e-14,1.22126374699809e-11
"21169","NC_000083.7",5392439,5392839,401,"*",10.5021844040731,10.8743010085698,9.99941300782888,0.819640944766647,4.18927519326311e-14,1.60948387584579e-11
"5970","NC_000070.7",138182421,138182821,401,"*",7.00099644055345,0,8.00099644055345,-23.0088797944155,4.52964863346759e-14,1.70399719530259e-11
"12639","NC_000075.7",50804461,50804861,401,"*",6.75605088139331,5.62560316803677,7.38200028134979,-1.63415412554755,5.19058190024204e-14,1.91278239536062e-11
